I got the file, trying to open...
gzopen,c:\users\user\projects\zlib-1.2.11\gzlib.c,273
__scrt_narrow_argv_policy::configure_argv,f:\dd\vctools\crt\vcstartup\inc\vcstartup_internal.h,395
__crt_fast_decode_pointer<void (__cdecl**)(void)>,f:\dd\vctools\crt\vcruntime\inc\internal_shared.h,505
__scrt_dllmain_crt_thread_attach,f:\dd\vctools\crt\vcstartup\src\utility\utility.cpp,434
gzflush,c:\users\user\projects\zlib-1.2.11\gzwrite.c,556
gzeof,c:\users\user\projects\zlib-1.2.11\gzlib.c,517
crc32_little,c:\users\user\projects\zlib-1.2.11\crc32.c,270
scan_tree,c:\users\user\projects\zlib-1.2.11\trees.c,707
gzseek,c:\users\user\projects\zlib-1.2.11\gzlib.c,447
vsnprintf,c:\program files (x86)\windows kits\10\include\10.0.17134.0\ucrt\stdio.h,1439
gzoffset64,c:\users\user\projects\zlib-1.2.11\gzlib.c,484
slide_hash,c:\users\user\projects\zlib-1.2.11\deflate.c,203
deflate_rle,c:\users\user\projects\zlib-1.2.11\deflate.c,2060
deflateCopy,c:\users\user\projects\zlib-1.2.11\deflate.c,1105
inflateInit2_,c:\users\user\projects\zlib-1.2.11\inflate.c,200
inflate,c:\users\user\projects\zlib-1.2.11\inflate.c,625
putShortMSB,c:\users\user\projects\zlib-1.2.11\deflate.c,719
gztell64,c:\users\user\projects\zlib-1.2.11\gzlib.c,457
zError,c:\users\user\projects\zlib-1.2.11\zutil.c,135
__scrt_get_dyn_tls_init_callback,f:\dd\vctools\crt\vcstartup\src\utility\dyn_tls_init.c,19
_tr_stored_block,c:\users\user\projects\zlib-1.2.11\trees.c,868
inflateBackEnd,c:\users\user\projects\zlib-1.2.11\infback.c,633
longest_match,c:\users\user\projects\zlib-1.2.11\deflate.c,1239
deflateGetDictionary,c:\users\user\projects\zlib-1.2.11\deflate.c,449
gzerror,c:\users\user\projects\zlib-1.2.11\gzlib.c,535
_guard_check_icall_nop,f:\dd\vctools\crt\vcstartup\src\misc\guard_support.c,78
gz_comp,c:\users\user\projects\zlib-1.2.11\gzwrite.c,76
__scrt_stub_for_acrt_uninitialize,f:\dd\vctools\crt\vcstartup\src\utility\ucrt_stubs.cpp,23
__scrt_stub_for_is_c_termination_complete,f:\dd\vctools\crt\vcstartup\src\utility\ucrt_stubs.cpp,43
inflateUndermine,c:\users\user\projects\zlib-1.2.11\inflate.c,1511
inflateStateCheck,c:\users\user\projects\zlib-1.2.11\inflate.c,107
zcalloc,c:\users\user\projects\zlib-1.2.11\zutil.c,309
__scrt_initialize_type_info,f:\dd\vctools\crt\vcstartup\src\eh\tncleanup.cpp,16
__scrt_release_startup_lock,f:\dd\vctools\crt\vcstartup\src\utility\utility.cpp,160
__crt_rotate_pointer_value,f:\dd\vctools\crt\vcruntime\inc\internal_shared.h,491
dllmain_crt_process_detach,f:\dd\vctools\crt\vcstartup\src\startup\dll_dllmain.cpp,92
